video_id;timeline;is_claimed;is_uploaded;is_edited
@faithlovehopev_6817598532254518534;0:00:10;0;1;1
@ashleyetaylor_6764711771375750405;0:00:23;0;1;1
@jordi.koalitic_6766627359857593605;0:00:39;0;1;1
@leorsaghian5_6856594764410653957;0:01:16;0;1;1
@jackson.jo_6886333782358609154;0:01:28;0;1;1
@brysiuofficial_6826297428300369158;0:01:39;0;1;1
@jaykindafunny8_6909609072123710725;0:01:52;0;1;1
@topperguild_6787540597595999494;0:02:09;0;1;1
@mahesh_production_6782915631038631173;0:02:33;0;1;1
@relaxedbryan_6957882564694658309;0:02:49;0;1;1
@dr.rami_awwad_6915794190068681986;0:02:59;0;1;1
@deiparii_6782170528644910342;0:03:13;0;1;1
@topperguild_6779009226204302598;0:03:29;0;1;1
@julissavazquezs_6793953633818987782;0:03:58;0;1;1
@mackenziesol_6931837986405371141;0:04:04;0;1;1
@malorielynn14_6702952481954991366;0:04:21;0;1;1
@sebastian_schieren_6760330888699038981;0:04:34;0;1;1
@natashakhanal25_6753383764296076550;0:04:50;0;1;1
@deepakjoshi.102_6800664456671104258;0:05:00;0;1;1
@nguyen2ngan_6856289470732422402;0:05:11;0;1;1
@shmeksss_6921332628691881218;0:05:30;1;0;1
@martamie_6857491416654810374;0:05:59;0;1;1
@nintendo.grl_6899095245141691650;0:06:33;0;1;1
@jayprehistoricpets_6947659301704060166;0:07:20;0;1;1
@theshilpashetty_6780922396946861317;0:07:32;1;0;1
@mgtenazas_6766131573898136838;0:07:48;0;1;1
@jonosean_6940189388311629062;0:08:23;0;1;1
@pearjake_6820796563728747782;0:08:44;0;1;1
@ilusha_help_6826803160842079494;0:09:06;0;1;1
@nitishandgroupfb_6797586177122700545;0:09:29;0;1;1
@youneszarou_6800725196450909445;0:09:43;0;1;1
@ahmed__art_6955377267795152134;0:10:10;0;1;1
@eliefeghaly7_6927853379196652802;0:10:20;0;1;1
@oye_indori_6789477688701717761;0:10:35;0;1;1
@jaykindafunny8_6945255252593528070;0:10:50;0;1;1
@kiran__raj_6837817770122497282;0:10:59;0;1;1
@officialmikehammer_6936448668891417861;0:11:11;0;1;1
@jaykindafunny8_6911384624874736902;0:12:11;0;1;1
@theliceangels_6876871769878203654;0:12:30;0;1;1
@aryanverma_001_6799176966512741634;0:12:51;0;1;1
@jammonkey_6839607199438753029;0:13:14;0;1;1
@condsty_6799582703667694853;0:14:00;1;0;1
@lifetiper_6953240245206895873;0:14:14;0;1;1
@spider_slack_6909833888189648133;0:14:40;0;1;1
@fishermanchristian_6931974545175792902;0:14:56;0;1;1
@sorrysa_official_6795767146438757638;0:15:05;0;1;1
@lelya_boss_6813758281102724358;0:15:21;0;1;1
@mattzworld_6831372615160958213;0:15:39;0;1;1
@khaby.lame_6948740634060639493;0:15:57;0;1;1
@theneilhenry_6811146060178803974;0:16:29;0;1;1
@spencerx_6793884060658781445;0:16:45;0;1;1
